candidate_id,"x [nm]","y [nm]",Δx [nm],Δy [nm],sigma_x,sigma_y,del_sigma_x,del_sigma_y,p,"t [ms]",Δt [ms],N_events,x_dim [px],y_dim [px],t_dim [ms],frame
491,41651.19136796857,46289.32315069718,62.50526481778775,27.7307082572918,214.82550703018853,105.05092401622096,74.66262533128892,34.18116398828725,2,85934.8680869565,114.17182995357962,70,10,8,600.791,85494
492,41604.39862845461,46475.751250062785,12.306500529822046,15.523963879569555,133.19834369733536,167.79953398740045,13.460018432371664,16.89460123774733,2,88255.24184506592,2530.8407721346916,101,10,11,461.75,87814
494,41590.352918443576,47007.86943207149,20.17405970658579,11.68225219780423,129.97368823064073,76.22764883174922,20.441751070529797,11.65150977396538,2,88838.94999873497,610.9260519739055,64,10,7,381.4500000000149,88398
496,42047.606187493795,46549.54369885308,27.080277287663005,12.44864045535575,219.0660543453491,105.5377931101588,28.729188150946104,12.895994046586152,2,64260.677311111125,148.20531824687959,100,11,12,627.5089999999925,63820
497,41926.159220949514,46392.362599742,8.48464733575552,9.062148642222054,35.323228690129376,34.848447467221526,4.138586384396794,4.532512683155992,1,74462.2002985527,238.17795450634665,56,7,13,327.038,74021
500,42181.96070961648,46740.010190397355,11.699333448019473,8.497254957479418,158.85367563392546,115.53285945441111,11.949583125057188,8.834625823650303,2,92929.09525096111,1269.6594630488567,201,11,11,666.902,92488
502,41964.29123690614,46508.287564205886,8.547805977079591,40.28097084556102,63.68152446518772,211.77388129359943,8.005260086122655,39.556023603975234,2,81110.18312755083,169.91751779988604,77,13,11,365.738,80669
503,42082.41557598602,47078.87855951092,17.485563295718748,13.768520771294702,127.30531149251377,95.04692469460933,24.70355696372394,18.63908270719878,2,80080.21596,119.66464862188195,75,8,5,578.327,79639
504,42031.16887266429,47092.856471690655,6.837668860278992,4.821116941895546,122.99081633025881,89.28119649453944,6.8971496320487855,4.719773316419341,2,97096.1394927768,4.221537445598234,126,9,10,329.20300000000003,96655
505,42330.406494053015,46900.43375341213,5.266348913759514,7.13332438712968,93.48463757544914,124.96206948380706,5.3565817699672005,7.230203660753584,2,81438.40009032434,1037.8229565059353,147,10,8,487.47700000000003,80997
506,42329.0263607577,46837.453197163486,12.636910116649657,15.717314121427972,103.65945819003231,111.35783642562157,12.634863855482442,16.93062929117438,2,58900.62299026854,0.007039074957445228,93,10,7,766.1949999999925,58460
507,42429.55235384309,38681.16689241653,13.947163536908075,20.085269404486432,49.96948101827526,72.53436857529367,17.319891139834137,18.640925026887572,1,52924.442062500006,67.35092577636591,31,6,8,210.219,52483
508,42695.90187244072,37654.327477019826,8.141304427500826,16.780234435525895,56.35313176685683,115.84434169498027,8.4901221938232,16.608519147839452,1,68881.55454724035,2492.555303913048,33,7,7,176.322,68441
509,34231.57729332979,36657.925342999624,16.314616609629592,7.149121873842475,120.49721867676892,45.36781852644018,15.832324884928099,6.408755690705485,2,136413.45822625488,4450999.08394192,60,7,7,409.07800000000003,135972
510,35091.801739270566,37101.02635063737,18.80327705040757,26.35558698066599,82.08888850755676,115.02289441461288,17.399892609689434,24.459642162781,2,106243.20779515248,8.856168134473931,48,12,13,365.422,105802
511,35381.92581142271,37438.14576579535,41.745084667256535,33.79841302908412,334.26669641380965,269.5662771860349,71.18478146327587,56.51553399812066,2,131411.15343900683,441.4252945475645,141,18,14,829.768,130970
512,35154.07954934223,37184.641548688014,9.888808363491016,12.000526734202918,92.31216752933072,112.12973833485988,9.271721490607623,11.252071792830042,2,138734.02029437182,41.51435139827217,105,10,14,723.378,138293
513,35226.86202398197,37178.43303089074,11.419521666610988,8.437093099939005,106.59202702335163,78.75322040060868,10.440992186443143,7.705985529972836,2,109572.33120726433,619.0842460483067,111,13,16,627.828,109131
514,35150.4683096695,37156.541028790445,8.63930660417286,8.365836995372785,65.65874576143068,63.28299173247604,7.859215415146399,7.7221140412153755,2,107873.00416684641,586.5701788557589,56,13,8,497.906,107432
515,35305.36760146243,37613.95535185054,15.80055458696479,25.51134779641268,66.74920258599498,108.21440393418135,14.422776144373392,23.393701301941125,2,117692.11893360862,121.87290235037817,157,9,18,742.048,117251
516,35189.528584753396,37179.95114794224,9.931566469273447,6.610524550340627,112.30823941484984,74.7487291731345,9.229010363272085,6.149742196227892,2,110569.37108333335,129.91317942633862,61,12,11,484.54900000000004,110128
517,35247.07878079056,37205.16588808683,24.26958969665219,7.278838991578363,193.9430142746379,72.68059710628489,24.71374657324413,6.926928466394733,2,112783.91912887727,16.14332021569656,87,12,13,497.485,112343
518,35556.15164321556,37350.247857442,67.95933615072518,25.894542117213334,406.11727053068364,180.14345213524405,89.82428237024058,30.65476406756323,2,116627.01219193614,334.251578331285,127,15,14,535.669,116186
520,35251.095256888846,37209.33641051987,16.801158547237602,11.395696983799317,117.33502762207678,80.3439228720464,16.0636711258194,10.766945513258461,2,123697.86123421426,4227.733204106697,57,12,10,456.9069999999851,123257
521,35309.962244384165,37096.264806339444,22.252037156581352,16.47716796599345,147.60850141566073,110.73276686887739,22.74920852766649,16.851695283054923,2,125700.95791420809,4797.18627012338,111,11,10,715.607,125260
522,35284.68906729012,37272.26030926522,8.37057199493326,9.66796097087407,81.56847533499521,93.67026679744443,8.162397902229777,9.387306152745374,2,127055.65228,101.64963567175776,65,10,7,596.196,126615
523,35468.76077553571,37022.67272624667,12.148923152086674,14.55013445526948,117.2483955448837,131.2563816831711,14.864932896212062,17.1494915761062,2,120879.38391726388,2957.2801074900904,84,9,7,736.3860000000149,120438
524,35224.46171704884,37178.38778536378,8.592358535821031,8.442725406803218,80.10260270811067,78.69891118229907,7.939691125130731,7.813002668226651,2,122981.50023333334,108.49054238832437,55,9,12,331.32800000000003,122541
525,35311.640945470965,37446.81505016066,18.564912986139497,11.831450136905843,113.42320859751186,73.01437210796823,17.416957588772007,11.05444441847531,2,137760.95417647055,160.30149363311756,81,10,16,625.647,137320
527,35432.31394066932,37148.789947139914,32.66511939885997,19.195264664929375,211.66368140434273,126.37469255776927,36.48795916459533,22.073650345311165,0,126251.1284117744,31.161259875532593,47,12,10,330.60200000000003,125810
528,35452.06725939826,37172.282156624344,34.49285341793571,41.04447819698673,211.24809446348564,248.60587324493778,47.598962366712755,55.154001465966196,2,149458.54079995086,17.181591201987388,60,13,14,386.607,149018
529,35340.12017913881,37231.90760049624,26.289312123689932,14.288505442659439,135.77365832139574,74.36219053296229,25.231966227226415,13.37506492118032,2,146815.69239008913,510.4892949812689,33,8,14,297.78299999997023,146375
530,35664.07867549203,37319.80789964778,32.124887644280555,19.727751874833356,294.5890511488924,185.46569844647937,35.40694965325058,22.650465306673397,2,124553.3043515744,210.30100373560157,144,16,16,693.8110000000149,124112
532,35428.301291576056,37664.30750010272,7.382524235708758,16.612659896298915,64.57005966106395,142.30012508965305,7.48663676657339,16.824637107161326,2,132029.69068870135,361.3074753234022,32,7,9,352.9340000000149,131589
533,35603.1112763393,38048.540662777465,8.31165055863235,15.595896541872747,105.55564810870621,197.44494641226723,8.069337148917828,15.206826600063387,2,137281.6753837877,785.5779622867175,112,10,18,468.779,136841
534,35831.527909246855,38354.21476387191,13.43298765440245,25.90722580626258,122.19466480712174,225.8200350767088,13.267046165474962,26.502228971124417,2,144181.49795824735,620.6883840710384,108,14,15,620.6510000000001,143740
535,35708.86380365079,38255.65070860417,10.969862664718628,10.516004676492264,77.04000878586038,72.54713894366938,9.879727700835415,10.132252835868707,1,107641.88889131372,881.8265830259197,86,18,10,505.3469999999851,107201
536,35740.22142330387,37095.85681452377,14.391115735869631,23.47247459107087,98.22500091458467,158.01291843869672,14.824327526908137,23.86068351914526,2,104173.57067029036,5.160959061095713,44,11,9,493.697,103733
538,35681.498193707244,38057.89290390119,7.5347995821110745,7.069045808031211,72.67145495770394,71.22778598889292,7.94689185858509,6.803950162697749,2,115776.89057153763,3321.4762165560132,43,7,6,359.38,115336
540,35931.084655377235,38626.227242310975,5.9936795200984525,8.240580990310361,58.30283923206254,79.4982411640426,5.208150377050674,7.5378281907592415,2,126670.58427272727,100.7077102935119,72,9,14,360.377,126230
541,35959.16621459956,38733.591865879454,5.1007072993119955,3.940426067869912,94.56273684289016,73.12549270524545,4.769930685765546,3.715003169658492,2,105986.03157129015,1746.1460577141213,87,10,10,532.022,105545
543,35916.76403075781,38266.002706584804,6.781755456475551,6.976410720779994,71.8262857800455,72.73323335066844,6.476865657217842,6.650192320085201,2,100988.94325000001,67.74683671167004,32,8,8,246.639,100548
544,36099.07537925786,38771.254663587904,5.0493096403656725,7.397159036654504,78.41208522187576,114.79606733619534,4.619929397517789,6.771742794310246,2,125686.8711650209,615.3011709651946,220,13,17,573.0829999999851,125246
